Navn,Parti,Udvalg/ordfører,Aktuelle udvalgsposter,Privat,Billede,Link,Hverv
Pia Kjærsgaard,"Formand for Folketinget
Dansk Folkeparti","Formand for
Folketingets Præsidium
Udvalget for Forretningsordenen",,"Pia Merete Kjærsgaard, født 23. februar 1947 i København, datter af farvehandler Poul Kjærsgaard og husmoder Inge Munch Jensen. Gift med Henrik Thorup, statsrevisor.",http://a.bimg.dk/node-images/824/6/620x/6824949-24debpiakjrsgaardtif.jpeg,http://www.ft.dk/da/medlemmer/folketingetsmedlemmer/pia-kj%c3%a6rsgaard-(df),
Carolina Maier,"Medlem af Folketinget
Alternativet","Aktuelle ordførerskaber
Børneordfører
Familieordfører
Ligestillingsordfører
Psykiatriordfører
Sundhedsordfører
Uddannelses- og forskningsordfører
Undervisningsordfører
Ældreordfører","Medlem af
Tilsynet i henhold til grundlovens § 71
Børne- og Undervisningsudvalget
Kirkeudvalget
Ligestillingsudvalget
Miljø- og Fødevareudvalget
Sundheds- og Ældreudvalget
Udvalget vedrørende Det Etiske Råd
Uddannelses- og Forskningsudvalget","Carolina Magdalene Maier, født 28. november 1973 i Haderslev, datter af elektroingeniør Frederico Maier Marin og socialrådgiver Inge Skau Maier.",http://www.carolinamagdalene.dk/wp-content/uploads/2015/05/Portr%C3%A6t-2-e1430757995643.png,http://www.ft.dk/da/medlemmer/folketingetsmedlemmer/carolina-magdalene-maier-(alt),
Marianne Jelved,"Medlem af Folketinget
Radikale Venstre","Familieordfører
Folkeoplysningsordfører
Friskole- og efterskoleordfører
Kirkeordfører
Ligestillingsordfører
Socialordfører
Undervisningsordfører","Medlem af
Børne- og Undervisningsudvalget
Kirkeudvalget
Kulturudvalget
Ligestillingsudvalget
Social- og Indenrigsudvalget","Marianne Bruus Jelved, født 5. september 1943 i Charlottenlund, datter af arkitekt Sigurd Hirsbro og Else Hirsbro. Gift med Jan Jelved.",http://denstoredanske.dk/@api/deki/files/91339/=Marianne_Jelved_2012_(2).jpg,http://www.ft.dk/da/medlemmer/folketingetsmedlemmer/marianne-jelved-(rv),
Mette Abildgaard,"Medlem af Folketinget
Det Konservative Folkeparti","Ældreordfører
Energiordfører
Forebyggelsesordfører
Klimaordfører
Miljøordfører
Politisk ordfører
Psykiatriordfører
Sundhedsordfører
Telekommunikationsordfører","Medlem af
Energi-, Forsynings- og Klimaudvalget
Miljø- og Fødevareudvalget
Sundheds- og Ældreudvalget
Stedfortræder i
Udvalget vedrørende Det Etiske Råd","Mette Abildgaard, født 12. oktober 1988 i Horsens, datter af Bjarne Abildgaard Jakobsen og Lene Marie Abildgaard. Samlevende med Jens Jacob Juulsager.",https://konservative.dk/wp-content/uploads/sites/8/2016/11/Mette-Abildgaard-web-1-440x550.jpg,http://www.ft.dk/folketinget/findmedlem/mette-abildgaard.aspx,
Stephanie Lose,Regionsrådsformand i Region Syddanmark (V),"I udvalget for Regional Udvikling, hvor jeg er formand i denne periode, arbejder vi med erhvervsudvikling, turisme, den regionale udviklingsplan, kollektiv trafik, kultur og internationalt samarbejde. 
Udover formandsskabet for Udvalget for Regional Udvikling er jeg i denne regionsrådsperiode medlem af Syddansk Vækstforum og Syddansk Mobilitetsråd, bestyrelsen for Inspiring Denmark, styregruppen for Kulturregion Vadehavet og medlem af repræsentantskabet for Syddansk Universitet.","Formand for Syddansk Vækstforum Medlem af Danske Regioners bestyrelse
Formand for Danske Regioners udvalg vedr. Sundhedsinnovation og Erhvervssamarbejde
Formand for bestyrelsen for UC Syd
Medlem af bestyrelsen for Væksthus Syddanmark
Medlem af Syddansk Universitets repræsentantskab
Medlem af Danmarks Vækstråd","Mit navn er Stephanie Lose, og jeg er 34 år gammel. Jeg er mor til pigerne Mie og Sofie på 7 år og 4 år og gift med deres far, Jakob Lose, som er Kultur- og Fritidsudvalgsformand i Esbjerg Kommune og direktør i IT-virksomheden Webitall. Vi bor i et dejligt hus i Østerbyen i Esbjerg – og husstanden består også af Jack Russell Terrieren Salsa.",https://www.stephanielose.dk//wp-content/uploads/2016/02/11781870_10153605607208629_8264706559794568518_n.jpg,http://www.stephanielose.dk/,
Kirsten Nordmann Andersen,"Medlem af Folketinget
SF","Ældreordfører
Boligordfører
Indfødsretsordfører
Kommunalordfører
Sundhedsordfører","Indfødsretsudvalget
Ligestillingsudvalget
Sundheds- og Ældreudvalget
Transport-, Bygnings- og Boligudvalget
Udvalget for Landdistrikter og Øer","Jeg er 52 år, mor til to voksne sønner og bor i Hørning. Jeg er uddannet sygehjælper og formand for fagforeningen FOA i Århus. Jeg har i godt 20 år været aktiv i fagbevægelsen. Det faglige arbejde har givet mig stor viden om velfærdssamfundet i almindelighed og arbejdsmarkedsforhold i særdeleshed.",http://www.denoffentlige.dk/sites/default/files/kirsten_normann_andersen.jpg,http://www.altinget.dk/person/kirsten-normann-andersen,
Jacob Mark,"Medlem af Folketinget og Gruppeformand
SF","Børneordfører
Uddannelses- og forskningsordfører
Idrætsordfører
Kulturordfører
Medieordfører
Undervisningsordfører","Kulturudvalget
Skatteudvalget
Social-, Indenrigs- og Børneudvalget
Udvalget for Forretningsordenen
Uddannelses- og Forskningsudvalget
Undervisningsudvalget
Underudvalget under Udvalget for Forretningsordenen
Udlændinge- og Integrationsudvalget
Udvalget til Valgs Prøvelse","Mark er opvokset i Køge, og blev student fra Køge Gymnasium i 2011. Forud for folketingsvalget læste han journalistik med speciale i politik og administration ved Roskilde Universitet. Han er søn af fængselsbetjent Bjarne Mark og folkeskolelærer Lise Mark og har en lillesøster, Freja Mark.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Jacob_Mark_SF.jpg/220px-Jacob_Mark_SF.jpg,,
Karin Friis Bach,Medlem af Regionsrådet (Det Radikale Venstre),,Formand for Sundhedsudvalget,"Karin Friis Bach er gift med Christian Friis Bach, har tre børn og driver i fritiden et mindre landbrug ved Ganløse med 33 hektar land, hvoraf 10 hektar består af nytilplantet skov.",http://www.altinget.dk/images/rv13/190-163-Karin-Friis-Bach-a.jpg,,
Jan Petersen,Socialdemokratiet. Borgmester i Norddjurs,"Erhvervsudvalget
Kommunalbestyrelsen (borgmester)
Valgbestyrelsen kommunalvalg
Økonomiudvalget","Beredskabskommissionen
Bevillingsnævn
Delegerede KL
Den Erhvervsdrivende Fond Bønnerup Havn
Djurslands Udviklingsråd (DUR)
Dyrlæge M. Dyekjær og Hustrus Fond
Ejendomsfonden Havets Hus/Kattegatscentret
Erhvervsudvalget
Gammel Estrup, Jyllands Herregårdsmuseum
Grenaa Havn A/S
Kommunalbestyrelsen
Kommunekontaktråd (KKR)
Kredsråd vedrørende politiets virksomhed
Letbanen - politisk følgegruppe
Underskriftbemyndigede
Valgbestyrelse folketings- og EU-parlamentsvalg
Valgbestyrelse kommunalvalg
Økonomiudvalget
Bestyrelsen i Aarhus Lufthavn A/S",,http://www.socialdemokratiet.dk/media/1656/jan-petersen.jpg,,
Henrik Appel,Socialdemokratiet,,"Landsleder af TUBA (Terapi og rådgivning for Unge som er Børn af Alkoholmisbrugere).
Medlem af Socialudvalget og medlem af Sundheds- og Omsorgsudvalget.","Som indfødt københavner har jeg fulgt byens udvikling hele mit liv. Jeg er gift og har to børn og er derfor fortsat med i, hvordan det er at være barn i København. Men som socialrådgiver har det i 20 år været hjemløse og andre udsatte jeg har arbejdet med. ",http://www.altinget.dk/images/kv13/1577-Henrik-Appel-Esbensen-a.jpg,,
