Dag,Type,Sted,Bemærkning,Start,Slut
Onsdag,Aftensmad,Nordbornholms Røgeri i Allinge,Booket til 11 personer,19:00,20:00
Torsdag,Morgenmad,Individuelt,Gorms Catering,8:00,8:45
Torsdag,Frokost,"Rosengade 15, Allinge kl. 12.00-14.00",Gorms Catering,12:00,14:00
Torsdag,Frokost,På havet,Gorms Catering,12:00,14:00
Torsdag,Aftensmad,"Rosengade 15, Allinge kl. 19.00",Gorms Catering,19:00,20:00
Fredag,Morgenmad,Individuelt,Gorms Catering,8:00,8:45
Fredag,Frokost,"Rosengade 15, Allinge kl. 12.00-14.00",Gorms Catering,12:00,14:00
Fredag,Frokost,På havet,Gorms Catering,12:00,14:00
Fredag,Aftensmad,"Rosengade 15, Allinge kl. 19.00",Gorms Catering,19:00,20:00
Lørdag,Morgenmad,Individuelt,Gorms Catering,8:00,8:45
Lørdag,Frokost,"Rosengade 15, Allinge kl. 12.00-14.00",Gorms Catering,12:00,14:00
Lørdag,Frokost,På havet,Gorms Catering,12:00,14:00
Lørdag,Aftensmad,"Det Gamle Posthus, Kirkegade 8, 3770 Allinge kl. 17.30",Booket til 12 personer,17:30,19:00
Søndag,Morgenmad,Individuelt,Gorms Catering,9:00,9:45
Søndag,Frokost,Rester,Gorms Catering,12:00,14:00
